City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,vilyuchinsk,52.9306,158.4028,7.18,80,98,4.01,RU,1697662914
230,port mathurin,-19.6833,63.4167,23.54,81,32,4.73,MU,1697662915
231,urangan,-25.3,152.9,20.39,60,46,7.86,AU,1697662915
232,cabo san lucas,22.8909,-109.9124,33.67,67,70,1.79,MX,1697662616
233,carutapera,-1.195,-46.02,25.16,90,36,3.98,BR,1697662915
234,portel,-1.9356,-50.8211,31.36,48,100,1.43,BR,1697662916
235,hoa binh,20.8133,105.3383,22.95,80,97,1.27,VN,1697662916
236,mangai,-4.05,19.5333,21.54,99,100,0.44,CD,1697662916
237,afaahiti,-17.75,-149.2833,23.93,84,95,8.08,PF,1697662917
238,nemuro,43.3236,145.575,14.75,82,100,9.64,JP,1697662917
239,chinde,26.8418,88.0763,12.68,82,0,2.27,NP,1697662917
240,bel ombre,-4.6167,55.4167,26.91,89,40,3.6,SC,1697662917
241,balcarce,-37.8462,-58.2552,19.11,44,55,3.13,AR,1697662918
242,hirara,24.8,125.2833,22.15,83,20,1.54,JP,1697662918
243,lihue,21.9789,-159.3672,27.77,67,40,4.12,US,1697662918
244,taltal,-25.4,-70.4833,19.98,58,21,2.7,CL,1697662918
245,talara,-4.5772,-81.2719,26.42,65,0,8.75,PE,1697662919
246,atascocita,29.9988,-95.1766,29.69,56,20,6.17,US,1697662919
247,novyy urengoy,66.0833,76.6333,4.93,93,100,5.5,RU,1697662919
248,acapulco de juarez,16.8634,-99.8901,29.57,64,100,2.45,MX,1697662822
249,dubti,11.7361,41.0853,30.6,42,43,4.67,ET,1697662919
250,palmer,42.1584,-72.3287,16.03,62,75,1.54,US,1697662919
251,kittila,67.6647,24.8936,-4.92,93,0,4.12,FI,1697662920
252,mont-laurier,46.5501,-75.4993,11.79,63,53,3.29,CA,1697662920
253,taulaga,-11.0553,-171.0883,27.56,80,21,6.84,AS,1697662920
254,mccook,40.2019,-100.6257,23.25,25,0,11.57,US,1697662921
255,byron bay,-28.65,153.6167,15.39,65,78,4.4,AU,1697662922
256,harstad,68.799,16.5293,0.34,95,49,3.58,NO,1697662922
257,pacasmayo,-7.4006,-79.5714,21.75,76,56,7.47,PE,1697662922
258,ulladulla,-35.35,150.4667,14.62,68,1,2.19,AU,1697662728
259,turinsk,58.0458,63.696,6.1,56,4,4.02,RU,1697662923
260,kavaratti,10.5669,72.642,28.28,71,24,2.01,IN,1697662923
261,zinjibar,13.1287,45.3807,28.26,72,1,5.54,YE,1697662923
262,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,88,40,6.0,RU,1697662923
263,talcahuano,-36.7167,-73.1167,15.82,67,20,6.69,CL,1697662923
264,sretensk,52.2453,117.7093,-4.58,60,9,1.34,RU,1697662923
265,aberdeen,57.1437,-2.0981,12.27,79,100,8.23,GB,1697662924
266,debre mark'os,10.35,37.7333,14.82,70,99,2.66,ET,1697662924
267,jauja,-11.7758,-75.4966,12.99,65,85,4.32,PE,1697662924
268,guskhara,23.5,87.75,22.56,77,0,2.37,IN,1697662924
269,christchurch,-43.5333,172.6333,14.07,83,75,1.54,NZ,1697662846
270,kol'chugino,56.3,39.3833,3.87,97,100,1.58,RU,1697662924
271,merizo village,13.2658,144.6691,26.66,97,57,4.56,GU,1697662924
272,jijel,36.8205,5.7667,21.97,64,0,1.03,DZ,1697662925
273,tevriz,57.509,72.4042,8.01,71,99,2.78,RU,1697662925
274,chilca,-12.5211,-76.7372,19.49,88,94,3.3,PE,1697662925
275,matola,-25.9622,32.4589,19.97,93,75,1.54,MZ,1697662925
276,woodward,36.4337,-99.3904,24.98,31,0,7.72,US,1697662925
277,wuyang,31.9925,116.2472,18.82,70,6,3.59,CN,1697662925
278,aktyubinskiy,54.8137,52.8056,3.25,73,67,6.06,RU,1697662926
279,pisco,-13.7,-76.2167,23.03,73,0,7.72,PE,1697662926
280,san fernando de apure,7.8878,-67.4724,29.54,70,100,0.65,VE,1697662926
281,chardara,41.2547,67.9692,16.7,58,9,3.98,KZ,1697662926
282,sayansk,54.1088,102.1648,0.05,86,41,1.64,RU,1697662926
283,minbu,20.1833,94.8833,24.58,76,10,0.16,MM,1697662926
284,salinopolis,-0.6136,-47.3561,27.33,80,17,6.66,BR,1697662926
